Airline ID,Flight Number,Departure Datetime,Arrival Datetime,Departure Time,Arrival Time,Booking Code,Passenger Name,Seat Number,Class,Fare,Extras,Loyalty Points,Status,Gate,Terminal,Baggage Claim,Duration (hours),Layovers,Layover Locations,Aircraft Type,Pilot,Cabin Crew,Inflight Entertainment,Meal Option,WiFi Availability,Window Seat,Aisle Seat,Emergency Exit Row,Number of Stops,Reward Program Member,flag_status
1,7175,2023-01-18 04:42:17,2023-10-30 02:08:55,05:55:40,04:32:31,Bnos,Eozmn,Seatwhm,First,271.37,No Extras,0,Cancelled,Gatetx,D,Claimyce,1.41,1,Locdit,Typehuo,Vbfq,Mujq,Yes,Vegetarian,Not Available,False,False,True,1,Yes,0
6,6943,2023-02-17 23:14:18,2023-12-24 03:55:48,09:39:02,09:33:08,Buzp,Ydfom,Seatazq,Economy,397.31,Extra Baggage,4066,Cancelled,Gatedj,B,Claimndd,6.16,2,Locsou,Typerxy,Nchv,Gauy,Yes,Non-Vegetarian,Available,False,False,False,2,No,8
16,9026,2023-04-04 04:46:56,2023-08-20 20:23:57,20:46:21,04:09:28,Bbba,Mrqad,Seatiiz,Economy,361.56,No Extras,0,Pending,Gatehu,A,Claimsas,11.6,1,Locjlq,Typeyhu,Mpum,Yvbs,Yes,No Meal,Available,True,True,True,2,No,1
12,8446,2023-12-26 12:37:02,2023-11-17 12:49:37,18:54:30,20:37:39,Bpsd,Kysmp,Seatquk,Economy,940.22,No Extras,0,Confirmed,Gatenx,B,Claimexu,6.08,2,Locanz,Typeadi,Mrav,Hnwr,Yes,Vegan,Available,False,False,True,2,No,10
11,2308,2023-04-27 06:02:19,2023-04-23 17:19:42,15:45:25,11:16:36,Bckx,Solwh,Seatnpd,Economy,372.06,Extra Baggage,0,Confirmed,Gateed,C,Claimwja,5.29,0,Locnvo,Typewel,Sbgh,Xnvl,No,Vegetarian,Not Available,True,True,False,2,No,11
10,9339,2023-07-01 14:28:53,2023-08-22 00:10:58,13:03:38,23:00:08,Bqew,Vavhe,Seatnjm,Economy,99.17,Extra Baggage,0,Pending,Gateuy,B,Claimyrj,3.44,0,Loclmv,Typetci,Jtix,Idgj,Yes,Non-Vegetarian,Not Available,True,False,True,1,Yes,8
3,5016,2023-04-18 21:56:57,2023-09-15 03:23:36,09:59:45,16:27:37,Biay,Xaldo,Seatkdb,Economy,85.7,Extra Baggage,1568,Cancelled,Gateol,A,Claimjnk,10.92,2,Locdci,Typewxa,Idmc,Sinv,Yes,Non-Vegetarian,Available,True,True,False,1,Yes,9
13,4940,2023-08-09 15:08:39,2023-12-30 20:07:58,23:24:15,13:45:44,Bidp,Ijumj,Seatepb,First,255.52,Extra Baggage,1419,Pending,Gatexb,B,Claimsrm,1.38,1,Locffk,Typekgr,Fszi,Qsfc,No,Non-Vegetarian,Not Available,True,True,False,1,Yes,1
3,7713,2023-07-01 03:21:08,2023-01-01 20:03:27,14:57:08,11:49:41,Boje,Jnssy,Seatchy,Business,135.1,Extra Baggage,0,Confirmed,Gatewv,A,Claimtjy,8.82,2,Locraj,Typeqxs,Npwm,Dinu,Yes,Vegan,Available,False,False,True,2,No,10
15,5071,2023-11-26 04:14:47,2023-01-31 14:35:24,16:45:41,10:03:45,Bpfp,Avvzx,Seatywd,Business,804.19,Extra Baggage,0,Cancelled,Gatevi,B,Claimhbk,3.74,1,Loccyv,Typesae,Vqap,Cnbu,Yes,No Meal,Not Available,False,False,False,0,No,2
16,9107,2023-06-12 21:16:54,2023-07-12 10:08:26,15:25:47,00:39:23,Bdvu,Hqwja,Seatyqr,First,690.75,Extra Baggage,0,Pending,Gateiq,A,Claimkam,9.27,2,Locttn,Typejkc,Nlsm,Zhdd,No,Non-Vegetarian,Available,True,True,False,2,Yes,9
13,6912,2023-07-01 13:02:30,2023-12-28 11:06:36,12:46:22,07:37:16,Bocs,Hebsy,Seatzne,Business,786.92,Meal,0,Confirmed,Gatepr,D,Claimqrw,10.05,0,Locfia,Typegcn,Ejsk,Gelr,No,No Meal,Available,True,False,True,0,Yes,8
17,1442,2023-06-26 11:57:42,2023-07-05 13:48:09,23:21:17,09:11:25,Biep,Btwxk,Seatuex,Business,555.84,Meal,0,Pending,Gatesx,C,Claimlrl,7.43,1,Loctru,Typefjj,Vwjo,Asmv,Yes,No Meal,Available,True,True,True,2,No,1
3,3944,2023-08-05 22:27:36,2023-02-24 19:20:06,22:08:32,06:22:01,Bchx,Czzih,Seatjbz,Economy,499.88,Meal,0,Confirmed,Gateba,D,Claimmus,1.11,0,Loctwc,Typepkn,Qvly,Fwul,Yes,Vegan,Available,True,True,False,1,No,11
11,4936,2023-02-21 14:03:01,2023-04-29 22:35:08,05:17:55,21:43:22,Bncp,Fnhoz,Seatipu,First,393.88,No Extras,0,Pending,Gateux,A,Claimmcl,5.68,1,Locdsp,Typentx,Dqmd,Vyij,Yes,No Meal,Available,False,False,False,2,No,0
19,1398,2023-11-28 07:17:46,2023-12-05 10:12:00,05:28:46,02:28:16,Bgic,Xcwhv,Seatgyu,Business,822.8,No Extras,0,Pending,Gately,D,Claimcnp,4.28,0,Locdpo,Typeauj,Tzdm,Vjzf,No,Vegan,Not Available,False,False,False,2,Yes,8
11,3995,2023-08-01 17:14:16,2023-01-12 04:13:38,00:25:55,03:49:45,Bhlq,Pfgmt,Seatdyh,First,51.68,No Extras,0,Confirmed,Gateyb,D,Claimyvg,8.29,2,Locqug,Typefhd,Glct,Kfqt,No,Vegetarian,Available,True,True,False,2,Yes,11
16,7329,2023-12-17 23:52:14,2023-05-08 14:34:32,04:37:39,16:13:05,Bnps,Zzisg,Seatcdy,Economy,539.74,No Extras,0,Cancelled,Gatens,D,Claimksh,10.52,1,Locyeq,Typefcm,Ygoj,Zycg,No,Non-Vegetarian,Available,True,False,True,0,No,2
3,3216,2023-10-10 09:15:17,2023-06-20 10:58:46,08:36:06,23:56:04,Bdcm,Pyxgo,Seatqpw,Business,405.04,No Extras,4757,Pending,Gatecb,D,Claimonu,11.02,2,Lockwh,Typedcl,Dykz,Kvwv,No,Vegan,Available,False,True,True,1,No,10
6,2707,2023-06-08 12:24:15,2023-10-20 13:02:54,07:12:03,14:56:45,Biml,Ebbte,Seatozo,Business,196.39,Meal,0,Pending,Gatebk,D,Claimnzh,3.64,2,Locbjm,Typekyn,Wkwh,Pvjw,No,Vegan,Not Available,True,True,False,1,No,9
14,6766,2023-07-05 21:56:54,2023-10-13 04:52:59,19:03:45,11:00:53,Bzuo,Ldrtk,Seatszw,Business,726.21,Meal,4586,Pending,Gatezb,A,Claimzwu,5.84,1,Lockut,Typetxb,Pfyd,Ohrp,No,Non-Vegetarian,Available,True,True,False,2,Yes,1
18,6677,2023-10-01 21:11:42,2023-04-28 06:40:44,22:17:59,12:04:29,Bccb,Utfmz,Seatyjk,Economy,304.76,Extra Baggage,650,Cancelled,Gateql,A,Claimwvk,10.68,2,Locxis,Typeigg,Zoln,Ltnt,No,Non-Vegetarian,Not Available,True,False,True,1,Yes,10
17,3568,2023-05-03 10:24:54,2023-03-31 18:55:24,20:18:34,08:51:43,Bzfy,Weydj,Seatmla,First,446.81,Meal,4560,Pending,Gateyl,A,Claimhke,6.18,0,Locutx,Typejnz,Nuhj,Qyob,No,No Meal,Not Available,True,True,False,2,No,11
4,8638,2023-09-29 05:21:05,2023-08-13 20:09:16,07:46:07,19:19:02,Bpwr,Bzhtt,Seatdsv,Business,325.33,No Extras,0,Confirmed,Gatequ,D,Claimoqn,2.56,2,Locfgb,Typetlc,Pwfy,Etpw,No,Non-Vegetarian,Not Available,True,False,False,0,No,10
15,1160,2023-05-07 09:43:24,2023-10-27 22:36:29,06:26:25,21:32:18,Bicw,Citbq,Seatdem,Business,629.09,No Extras,492,Pending,Gateah,A,Claimzoi,6.25,0,Locdbf,Typevgu,Dxsw,Isxc,Yes,No Meal,Available,True,True,False,1,Yes,9
11,9067,2023-07-23 04:14:51,2023-06-26 15:06:22,11:14:52,13:14:30,Bzwp,Axqem,Seatusp,Business,60.31,No Extras,0,Confirmed,Gategg,D,Claimnyj,7.73,0,Locbqc,Typeyuh,Dwmb,Mlvh,No,Vegan,Not Available,False,True,True,0,No,10
3,4904,2023-04-27 09:38:15,2023-05-22 00:22:54,11:57:07,14:14:39,Bdnd,Hgwnh,Seatwvy,First,672.92,No Extras,0,Cancelled,Gateje,A,Claimopl,10.35,1,Locdva,Typeosj,Vhyl,Qbuq,No,Non-Vegetarian,Available,False,False,False,2,Yes,0
3,4573,2023-12-14 01:53:47,2023-06-08 00:02:09,09:36:34,03:52:30,Brrr,Kcere,Seatucu,Economy,442.49,Meal,0,Pending,Gatetn,D,Claimipv,3.38,2,Locrax,Typehti,Pmhd,Ayfe,Yes,No Meal,Available,False,True,True,1,Yes,10
16,2825,2023-08-03 22:37:30,2023-11-01 02:31:33,04:55:54,08:16:03,Bucz,Mebzm,Seatklj,Business,728.53,Meal,0,Cancelled,Gategs,D,Claimzfk,11.51,1,Locoud,Typeued,Hfjq,Kwds,No,Vegetarian,Not Available,False,True,False,1,No,0
5,6582,2023-09-22 00:23:33,2023-08-10 22:17:44,12:21:47,14:25:01,Bgmg,Fqhqs,Seatypu,Economy,846.96,Meal,0,Cancelled,Gatekn,D,Claimhoo,9.56,1,Locxof,Typeehh,Cjmo,Elli,No,Vegan,Available,True,True,False,0,No,3
10,2176,2023-10-07 21:46:59,2023-10-17 16:27:58,19:40:58,15:59:47,Bvmx,Oargg,Seatgka,Business,538.53,Extra Baggage,0,Cancelled,Gatezc,D,Claimojb,3.97,0,Locrse,Typeymr,Uglq,Rhhi,No,Non-Vegetarian,Not Available,False,False,False,2,Yes,8
19,5918,2023-05-04 09:15:06,2023-07-21 08:46:11,05:58:32,06:49:44,Bdpy,Pkeun,Seatnow,Business,875.75,Meal,0,Confirmed,Gatefl,A,Claimgwo,11.75,0,Locyan,Typemzj,Usvt,Mvwg,No,No Meal,Available,True,False,False,0,Yes,8
4,5880,2023-04-22 23:54:20,2023-06-30 14:13:03,01:36:51,13:24:44,Bomj,Wzjex,Seatdke,First,176.63,No Extras,0,Pending,Gateas,B,Claimalv,11.36,2,Locysw,Typeldp,Yriu,Tsza,Yes,Vegan,Available,False,True,False,2,No,8
19,4220,2023-12-30 21:26:46,2023-07-31 22:48:25,09:34:19,05:33:58,Bjed,Srzdw,Seathxe,First,82.78,Extra Baggage,0,Confirmed,Gatefx,D,Claimrfz,9.16,0,Locyqq,Typeogf,Sjxf,Xsbc,No,Vegan,Available,False,True,True,2,No,10
11,8820,2023-09-01 20:30:39,2023-11-12 03:52:33,10:57:22,13:12:47,Bsoi,Iskck,Seatbff,First,891.18,No Extras,0,Pending,Gatedu,B,Claimdyi,7.14,2,Locyoa,Typexuv,Yctv,Vtgi,No,Vegan,Available,True,True,False,2,Yes,9
2,1130,2023-01-30 20:39:03,2023-12-22 23:57:54,07:25:26,16:40:37,Bpdy,Gqwrz,Seatqen,Economy,161.93,No Extras,0,Pending,Gatenu,A,Claimxwn,11.13,2,Locklk,Typeilv,Ehib,Knvo,No,Non-Vegetarian,Not Available,True,True,True,2,No,9
10,7659,2023-11-27 07:22:56,2023-06-29 07:42:46,17:59:17,11:44:43,Bkqu,Oqzyq,Seatdon,Business,222.0,Meal,0,Pending,Gatewk,C,Claimoqx,5.87,2,Locmxs,Typegzl,Mucb,Rttt,No,Vegan,Available,False,True,False,0,Yes,10
11,4562,2023-03-24 16:36:09,2023-11-18 06:24:51,21:12:52,10:36:47,Bail,Xjowp,Seatlah,First,165.18,Extra Baggage,0,Cancelled,Gategf,B,Claimnab,5.68,0,Locaaw,Typemkv,Ijag,Ctir,No,Non-Vegetarian,Available,False,True,False,0,No,8
16,2499,2023-11-23 10:31:24,2023-11-05 13:40:06,02:44:22,12:00:56,Bwlj,Ozius,Seatxrz,Business,212.79,Extra Baggage,4264,Pending,Gatevs,B,Claimgzx,5.15,1,Loceqa,Typeudm,Wmyh,Qvjo,No,No Meal,Available,True,True,True,1,No,3
19,8430,2023-09-20 23:51:40,2023-03-03 05:05:56,23:12:27,13:39:08,Biuz,Abfxi,Seatkny,First,904.14,Meal,705,Confirmed,Gatesk,B,Claimqgf,10.07,1,Locshb,Typeocd,Mpdh,Wkmh,Yes,Non-Vegetarian,Available,False,False,True,2,No,2
11,8705,2023-06-10 19:45:07,2023-07-09 12:38:53,09:45:07,14:18:42,Bytp,Xrajd,Seatssd,Business,855.53,Extra Baggage,0,Confirmed,Gatevn,B,Claimdji,2.71,1,Locfay,Typepin,Shxm,Qogc,No,Vegan,Not Available,False,True,True,1,No,0
14,8626,2023-08-27 03:00:35,2023-12-03 13:40:23,04:00:25,09:49:31,Bmcr,Nuzft,Seatgro,Business,302.24,Meal,0,Pending,Gateux,C,Claimukg,1.74,2,Locbwi,Typeywb,Acog,Lazw,No,Vegetarian,Not Available,False,False,True,1,No,8
2,7679,2023-08-01 23:42:33,2023-05-05 05:53:24,09:28:59,01:35:47,Bdsy,Eoxjc,Seatjpo,Economy,719.4,Meal,0,Pending,Gateml,C,Claimzvi,4.38,1,Locpfj,Typedta,Fjpl,Gpdp,Yes,No Meal,Available,True,True,True,0,Yes,3
5,3788,2023-08-25 18:34:39,2023-08-17 01:21:42,09:17:24,06:39:09,Bmml,Qiior,Seatbid,Business,798.93,No Extras,2145,Confirmed,Gatemz,C,Claimqah,11.38,1,Locmjh,Typerfh,Fxkl,Aqip,No,Non-Vegetarian,Available,False,False,True,1,Yes,2
5,5876,2023-03-01 02:34:00,2023-12-12 09:53:46,19:36:48,14:00:03,Bxab,Chcsv,Seatgyw,Business,197.14,No Extras,0,Cancelled,Gateax,C,Claimzrs,6.04,0,Loctgz,Typeeni,Rmot,Gbcw,No,Vegan,Not Available,False,True,False,2,Yes,8
19,4708,2023-04-13 12:58:36,2023-02-15 04:22:13,00:04:12,00:49:26,Bcvu,Mvpgz,Seatuql,Business,266.76,No Extras,0,Confirmed,Gatelk,C,Claimdqp,4.38,0,Locqpg,Typerap,Wsxd,Ducz,No,Vegetarian,Not Available,True,False,True,0,No,10
12,2769,2023-10-11 06:42:29,2023-07-31 05:07:24,02:50:08,12:14:48,Buvm,Tezsb,Seatyhu,First,503.92,No Extras,0,Cancelled,Gatesz,C,Claimypy,1.59,0,Loceul,Typeijp,Pbrl,Yrgz,No,No Meal,Not Available,False,False,False,2,Yes,10
18,7731,2023-06-30 02:13:07,2023-06-01 19:37:11,23:22:31,20:18:27,Blpn,Ccbpq,Seatixd,Business,654.79,Meal,0,Confirmed,Gateep,C,Claimnya,8.3,2,Lockci,Typeogv,Axle,Ocmi,No,Vegetarian,Not Available,False,False,True,1,Yes,10
4,4044,2023-11-25 16:39:11,2023-08-29 01:52:40,15:26:25,05:23:11,Bxnq,Ppsqx,Seatbym,Economy,449.75,No Extras,0,Pending,Gateqc,B,Claimhfy,6.87,2,Locprg,Typetto,Hzij,Lzln,Yes,Non-Vegetarian,Not Available,True,False,True,0,Yes,10
17,1375,2023-01-13 16:43:40,2023-06-05 21:04:47,22:58:00,15:49:25,Befj,Elvlz,Seatygo,Economy,793.62,No Extras,0,Pending,Gatelb,D,Claimjny,9.71,0,Locxgv,Typesht,Lqzw,Nnoj,Yes,Vegan,Available,False,False,False,1,No,8
10,7347,2023-07-16 08:32:16,2023-05-30 02:57:58,23:40:06,11:06:14,Bviz,Ggdfp,Seathdz,First,990.79,No Extras,0,Pending,Gateqt,C,Claimvod,5.47,2,Locjgg,Typetdx,Qsjc,Bnia,Yes,Vegetarian,Not Available,True,False,False,2,Yes,10
6,4036,2023-06-15 14:37:27,2023-04-23 05:31:11,10:51:09,05:43:01,Bgdw,Hfwsy,Seatdkq,Business,871.56,Meal,0,Cancelled,Gatezl,A,Claimizk,9.17,0,Locyic,Typecvb,Qhqf,Mndt,Yes,No Meal,Available,True,True,False,1,Yes,11
14,9852,2023-12-22 23:48:26,2023-03-15 21:54:21,15:36:58,12:34:32,Bgkf,Jpbnk,Seatmij,Economy,858.99,Extra Baggage,0,Cancelled,Gatell,B,Claimras,2.99,1,Locuan,Typeazq,Gtaf,Heqz,No,No Meal,Not Available,False,False,True,1,No,2
11,7218,2023-04-22 11:51:52,2023-04-22 05:44:32,06:26:58,01:07:05,Bppx,Xxbyc,Seatiun,First,241.51,Meal,0,Pending,Gatexh,D,Claimppg,8.79,2,Locysb,Typeqed,Ltxa,Wjmu,No,No Meal,Available,True,False,True,0,Yes,10
11,1740,2023-05-02 00:03:16,2023-12-25 12:07:54,09:12:40,10:17:05,Bxmz,Zvkdn,Seatwch,First,909.23,Meal,0,Cancelled,Gatehh,B,Claimcpl,3.81,2,Locxyk,Typepxv,Aede,Zqtj,No,Vegan,Available,True,False,True,0,Yes,8
18,9495,2023-01-03 10:45:40,2023-08-06 13:28:55,21:20:19,13:09:50,Blvb,Eczhj,Seatylh,Economy,991.42,No Extras,1498,Pending,Gateef,A,Claimdjs,9.98,1,Locpbw,Typeqzb,Dirp,Qtuo,No,Non-Vegetarian,Available,False,False,False,2,Yes,0
18,2085,2023-07-30 15:30:33,2023-11-20 20:41:22,12:21:42,19:18:09,Buma,Lzhwg,Seatefs,Economy,587.51,Meal,0,Cancelled,Gatelx,A,Claimcgc,8.01,2,Locymj,Typerao,Wkgd,Feow,No,Non-Vegetarian,Available,True,True,False,2,No,9
11,2210,2023-05-31 16:46:07,2023-05-09 00:31:44,06:56:46,05:11:18,Bjzj,Bzlvt,Seatcnn,First,772.1,No Extras,0,Confirmed,Gatetn,C,Claimyit,5.94,0,Locnzf,Typeqby,Nfsn,Cxlc,Yes,Vegan,Available,False,False,False,2,Yes,10
12,9420,2023-04-30 12:36:07,2023-10-29 18:31:49,11:05:16,01:45:17,Bkid,Kiefg,Seatmgi,First,619.33,Extra Baggage,0,Cancelled,Gatemg,A,Claimaea,2.42,0,Locaaq,Typemsg,Ssng,Qhgx,No,Vegan,Not Available,False,False,False,1,No,8
5,4119,2023-06-02 08:58:15,2023-09-06 17:39:25,07:07:47,10:03:55,Bqsj,Nroap,Seatooy,Economy,992.43,Extra Baggage,0,Confirmed,Gatehc,C,Claimoev,3.69,0,Locpji,Typeobv,Ozth,Gttw,Yes,Non-Vegetarian,Available,True,False,True,2,No,8
9,1267,2023-12-05 00:54:44,2023-07-31 01:36:44,21:13:47,23:02:32,Bmbi,Ovigl,Seatrwh,First,624.43,Meal,0,Cancelled,Gatesh,A,Claimxoa,2.79,0,Locicx,Typecgc,Iypo,Hgmy,No,Non-Vegetarian,Available,False,True,False,1,Yes,10
9,3774,2023-04-25 06:02:23,2023-04-08 03:33:27,13:14:48,17:19:08,Bgzj,Ilkcm,Seatazt,First,500.36,Extra Baggage,0,Cancelled,Gateqf,A,Claimnrb,5.14,0,Locgev,Typevke,Epcy,Xlcc,Yes,Vegan,Not Available,False,True,True,2,Yes,10
10,5349,2023-03-01 10:36:51,2023-01-30 02:26:34,22:14:38,18:36:47,Blvt,Evvur,Seatiiu,Economy,198.06,Extra Baggage,0,Cancelled,Gatetx,C,Claimqze,3.54,1,Lochtz,Typexfp,Ofkz,Dtas,No,Vegan,Available,True,False,True,2,Yes,2
19,5965,2023-04-15 22:27:49,2023-11-09 12:42:42,04:00:14,19:37:29,Bkdl,Kzcvi,Seatwvm,Economy,851.77,Meal,0,Cancelled,Gatent,C,Claimgpe,5.37,2,Locukf,Typetfe,Yjdn,Unjv,Yes,Vegan,Available,False,False,True,2,Yes,8
1,9125,2023-07-14 01:59:21,2023-08-26 07:56:47,17:57:04,08:45:07,Blwh,Zhxhm,Seattwc,Economy,242.38,Meal,0,Cancelled,Gatezl,A,Claimnsj,11.36,2,Loclpp,Typebxy,Lyqu,Vjiu,No,No Meal,Available,False,False,True,0,No,8
